Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 13 Dec 2025 12:52:46 AM

Recipient,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,1950-2025,Percentage,Sum total years,Percentage of total
India,140,262,103,460,276,396,304,942,1052,902,544,1147,396,681,955,1086,1007,1277,1665,1515,878,1882,1831,1351,1326,1133,1941,2374,1194,1199,1768,2123,2275,2637,2785,3003,4248,3920,3854,3676,2832,1873,1187,735,872,1396,831,1680,797,1227,987,1184,2001,2798,2242,1194,1479,2276,1624,1937,2891,3618,4494,5272,3201,2724,2558,2659,2011,3147,2646,3943,2629,1491,1168,,136111,6.5%,136111,6.5%
China,2626,2246,3478,3143,3499,1804,2266,2143,2795,3176,2357,952,415,450,485,257,227,145,182,2,2,2,2,3,3,3,3,75,86,10,6,2,13,25,71,113,20,56,104,171,274,445,1190,1236,310,707,1501,939,373,1720,2472,2754,2819,2315,3227,3459,2823,1691,1773,1376,939,1032,1542,1221,1033,1196,1209,1537,2008,1323,775,686,646,431,72,,82473,3.9%,82473,3.9%
Saudi Arabia,0 ,,7,1,0 ,18,10,71,37,8,15,12,22,,5,48,227,221,448,416,87,10,120,192,536,392,702,1028,1023,767,1085,1816,2223,1819,824,1314,2842,2010,784,1382,2039,1038,1149,2354,981,984,1727,2791,2886,1580,105,60,560,160,1159,166,206,227,387,827,1108,1172,810,1631,2711,3384,2974,3968,3004,3070,2530,1690,3058,1296,1111,,77422,3.7%,77422,3.7%
Egypt,152,46,1,2,125,746,1194,1008,404,273,164,544,686,738,844,951,1542,2238,1276,1242,1690,1988,3261,2547,1078,566,159,410,136,631,1004,1180,2487,1674,1515,977,1490,1652,427,297,563,887,973,1258,2027,1704,969,1051,483,517,833,824,717,631,648,809,695,660,326,95,689,653,308,719,430,1443,1653,2472,1629,1081,1401,1290,743,1151,72,,71749,3.4%,71749,3.4%
Japan,,,8,223,280,412,765,1023,1178,666,790,335,263,239,1716,1155,324,610,557,488,502,605,484,467,730,1600,1477,790,903,922,1032,1308,1444,1692,2051,1971,1889,1942,1998,2283,2678,2940,2519,2130,1020,1246,867,834,1480,1248,488,418,433,452,390,369,463,553,990,990,658,300,239,342,316,343,332,446,764,992,929,1114,1571,957,977,,69910,3.3%,69910,3.3%
South Korea,155,256,266,263,158,351,461,295,269,257,200,180,132,214,282,632,571,130,352,578,93,243,406,262,450,653,555,1198,399,1323,877,872,673,496,524,764,869,785,1249,1849,1214,921,795,1024,1029,1965,1985,1230,1418,1636,1399,774,520,754,1055,803,1660,1730,1691,798,1299,1568,1077,189,742,268,1038,962,1030,1605,1273,812,423,218,1009,,58450,2.8%,58450,2.8%
Turkiye,117,136,337,171,172,445,300,545,546,916,593,312,266,586,839,603,525,593,426,645,397,941,1094,790,1281,640,358,293,984,917,487,731,483,477,549,678,472,1429,1628,1017,1241,1270,1879,2329,1891,1567,1491,1512,2627,1734,1182,505,882,331,257,1080,529,701,649,731,467,754,1481,769,1525,443,326,427,486,767,107,282,186,679,381,,58180,2.8%,58180,2.8%
Germany,,,,,,86,1496,2193,2770,1559,2064,2040,2479,3296,3721,3341,3263,1409,1268,1263,1419,2404,793,1721,2141,1831,1357,1012,661,65,150,261,453,434,412,130,322,334,443,701,711,690,679,529,417,222,244,60,618,129,113,133,71,63,237,199,406,46,278,330,306,82,130,113,95,95,55,43,14,38,101,235,284,200,239,,57492,2.7%,57492,2.7%
Iraq,,,59,50,17,57,102,38,188,174,176,130,278,201,321,248,341,364,392,418,185,187,627,1846,1425,1113,1136,1072,1796,1395,2252,2580,3258,3373,4540,3908,3393,3474,1917,1513,818,,,,,,,,,,,,,,73,193,308,299,379,418,480,622,520,373,629,1485,1831,945,455,144,5,,55,29,23,,54625,2.6%,54625,2.6%
United States,313,595,775,1215,1796,1792,1971,1211,591,546,181,198,236,283,358,170,89,88,62,50,38,578,769,656,586,388,499,384,369,253,380,531,248,463,381,654,420,1993,1788,1783,363,515,540,968,951,809,601,610,261,220,333,508,515,630,596,582,706,842,936,939,961,937,1142,767,560,474,439,496,363,890,798,907,733,792,1209,,49572,2.4%,49572,2.4%
